MacroPlot Name,Monitoring Status,Date,Index,Transect,Quadrat,Status,SizeCl,AgeCl,Count,Height,SubFrac,Comment,UV1,UV2,UV3,NumTran,NumQuadTran,QuadLen,QuadWid,Area,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species Symbol,Visited
201,Initial,8/19/2002 12:00:00 AM,,,,,,,,,,,,,,1,5,10,10,100,,,,,,,,True
201,Initial,8/19/2002 12:00:00 AM,1,1,1,L,SDL,,3,,0.1,,,,,,,,,,,,,,,,SAAL,
201,Initial,8/19/2002 12:00:00 AM,2,1,1,L,SDL,,3,,0.1,,,,,,,,,,,,,,,,MYCE,
201,Initial,8/19/2002 12:00:00 AM,3,1,1,L,SS,,1,,0.1,,,,,,,,,,,,,,,,ACRU,
201,Initial,8/19/2002 12:00:00 AM,4,1,1,L,SDL,,8,,0.1,,,,,,,,,,,,,,,,ACRU,
201,Initial,8/19/2002 12:00:00 AM,5,1,1,L,SDL,,10,,0.1,,,,,,,,,,,,,,,,VAAR,
201,Initial,8/19/2002 12:00:00 AM,6,1,1,L,SS,,3,,0.1,,,,,,,,,,,,,,,,MYCE,
201,Initial,8/19/2002 12:00:00 AM,7,1,1,L,SDL,,4,,0.1,,,,,,,,,,,,,,,,PEBO,
201,Initial,8/19/2002 12:00:00 AM,8,1,1,L,SS,,1,,0.1,,,,,,,,,,,,,,,,CAAM,
201,Initial,8/19/2002 12:00:00 AM,9,1,1,L,SDL,,3,,0.1,,,,,,,,,,,,,,,,PITA,
201,Initial,8/19/2002 12:00:00 AM,10,1,1,L,SS,,1,,0.1,,,,,,,,,,,,,,,,MYCE,
201,Initial,8/19/2002 12:00:00 AM,11,1,1,L,SS,,7,,0.1,,,,,,,,,,,,,,,,VAAR,
201,Initial,8/19/2002 12:00:00 AM,12,1,2,L,SDL,,2,,0.1,,,,,,,,,,,,,,,,QULA,
201,Initial,8/19/2002 12:00:00 AM,13,1,2,L,SDL,,2,,0.1,,,,,,,,,,,,,,,,QUsp,
201,Initial,8/19/2002 12:00:00 AM,14,1,2,L,SS,,1,,0.1,,,,,,,,,,,,,,,,CAAM,
201,Initial,8/19/2002 12:00:00 AM,15,1,2,L,SS,,2,,0.1,,,,,,,,,,,,,,,,ILVO,
201,Initial,8/19/2002 12:00:00 AM,16,1,2,L,SS,,2,,0.1,,,,,,,,,,,,,,,,QULA,
201,Initial,8/19/2002 12:00:00 AM,17,1,2,L,SS,,4,,0.1,,,,,,,,,,,,,,,,MYCE,
201,Initial,8/19/2002 12:00:00 AM,18,1,2,L,SS,,3,,0.1,,,,,,,,,,,,,,,,LIST,
201,Initial,8/19/2002 12:00:00 AM,19,1,2,L,SS,,2,,0.1,,,,,,,,,,,,,,,,QUsp,
201,Initial,8/19/2002 12:00:00 AM,20,1,2,L,SDL,,1,,0.1,,,,,,,,,,,,,,,,LIST,
201,Initial,8/19/2002 12:00:00 AM,21,1,2,L,SDL,,4,,0.1,,,,,,,,,,,,,,,,ILVO,
201,Initial,8/19/2002 12:00:00 AM,22,1,2,L,SDL,,16,,0.1,,,,,,,,,,,,,,,,MYCE,
201,Initial,8/19/2002 12:00:00 AM,23,1,3,L,SS,,2,,0.1,,,,,,,,,,,,,,,,CAAM,
201,Initial,8/19/2002 12:00:00 AM,24,1,3,L,SS,,4,,0.1,,,,,,,,,,,,,,,,MYCE,
201,Initial,8/19/2002 12:00:00 AM,25,1,3,L,SS,,1,,0.1,,,,,,,,,,,,,,,,ACRU,
201,Initial,8/19/2002 12:00:00 AM,26,1,3,L,SS,,4,,0.1,,,,,,,,,,,,,,,,RHCA,
